transaction_date,King,Island,Snohomish,Clark,Skagit,Thurston,Kitsap,Pierce,Cowlitz,Yakima,Whatcom,Grant,Benton,Garfield,San Juan,Skamania,Spokane,Grays Harbor,Douglas,Clallam,Walla Walla,Chelan,Mason,Stevens,Lewis,Franklin,Jefferson,Kittitas,Adams,Whitman,Pacific,Pend Oreille,Ferry,Asotin,Klickitat,Okanogan,Wahkiakum,Lincoln,Columbia,State Total
2010-02-28,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2010-03-31,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2010-04-30,2.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
2010-05-31,2.0,0.0,1.0,1.0,0.0,1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
2010-06-30,3.0,0.0,1.0,1.0,0.0,1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
2010-07-31,5.0,0.0,1.0,1.0,0.0,1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
2010-08-31,6.0,0.0,1.0,1.0,1.0,1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
2010-09-30,7.0,0.0,1.0,1.0,1.0,1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
2010-10-31,12.0,0.0,1.0,1.0,1.0,1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
2010-11-30,12.0,0.0,1.0,1.0,1.0,1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
2010-12-31,17.0,0.0,1.0,1.0,1.0,1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
2011-01-31,22.0,0.0,1.0,1.0,1.0,1.0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
2011-02-28,33.0,0.0,2.0,1.0,1.0,2.0,1,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0
2011-03-31,42.0,0.0,3.0,1.0,1.0,2.0,1,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0
2011-04-30,73.0,0.0,8.0,3.0,2.0,2.0,3,0.0,0.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0
2011-05-31,125.0,1.0,14.0,9.0,2.0,4.0,5,2.0,0.0,2.0,3.0,0.0,2.0,0.0,4.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0
2011-06-30,266.0,2.0,31.0,11.0,7.0,8.0,15,14.0,0.0,3.0,3.0,0.0,3.0,0.0,6.0,0.0,7.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,383.0
2011-07-31,412.0,4.0,59.0,21.0,7.0,13.0,20,27.0,0.0,3.0,6.0,0.0,4.0,0.0,6.0,0.0,14.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,608.0
2011-08-31,508.0,4.0,77.0,25.0,8.0,21.0,27,31.0,0.0,4.0,12.0,0.0,5.0,0.0,6.0,0.0,20.0,1.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,764.0
2011-09-30,584.0,4.0,86.0,26.0,10.0,27.0,31,38.0,2.0,4.0,13.0,0.0,6.0,0.0,6.0,1.0,24.0,2.0,4.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,880.0
2011-10-31,659.0,5.0,100.0,32.0,11.0,31.0,40,48.0,2.0,5.0,13.0,0.0,7.0,0.0,7.0,1.0,28.0,3.0,4.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1012.0
2011-11-30,715.0,5.0,104.0,41.0,12.0,37.0,44,53.0,2.0,5.0,15.0,0.0,10.0,0.0,7.0,1.0,29.0,3.0,4.0,3.0,1.0,1.0,1.0,1.0,3.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1107.0
2011-12-31,783.0,6.0,112.0,48.0,13.0,38.0,48,57.0,3.0,6.0,18.0,1.0,10.0,0.0,8.0,1.0,33.0,3.0,4.0,3.0,1.0,2.0,1.0,1.0,5.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1216.0
2012-01-31,829.0,6.0,126.0,53.0,13.0,40.0,52,66.0,3.0,6.0,19.0,1.0,11.0,0.0,9.0,1.0,35.0,3.0,4.0,3.0,1.0,3.0,2.0,2.0,5.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1304.0
2012-02-29,843.0,6.0,129.0,56.0,13.0,40.0,55,71.0,3.0,6.0,20.0,1.0,12.0,0.0,10.0,1.0,37.0,3.0,4.0,3.0,1.0,5.0,3.0,2.0,5.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1341.0
2012-03-31,894.0,8.0,142.0,64.0,14.0,44.0,63,83.0,5.0,6.0,22.0,2.0,14.0,0.0,11.0,1.0,40.0,4.0,5.0,4.0,3.0,6.0,3.0,3.0,5.0,0.0,6.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1460.0
2012-04-30,945.0,12.0,151.0,74.0,15.0,44.0,72,96.0,7.0,8.0,27.0,3.0,16.0,0.0,11.0,1.0,45.0,4.0,5.0,5.0,3.0,7.0,3.0,3.0,6.0,1.0,7.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,1580.0
2012-05-31,1007.0,14.0,164.0,83.0,15.0,48.0,78,101.0,8.0,9.0,30.0,4.0,18.0,0.0,11.0,1.0,46.0,5.0,5.0,5.0,4.0,7.0,5.0,3.0,8.0,1.0,7.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,1.0,0.0,1698.0
2012-06-30,1066.0,14.0,176.0,93.0,17.0,50.0,84,110.0,10.0,9.0,34.0,5.0,22.0,0.0,11.0,1.0,51.0,5.0,5.0,6.0,5.0,10.0,5.0,3.0,9.0,1.0,7.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,1.0,0.0,1821.0
2012-07-31,1130.0,14.0,183.0,100.0,21.0,54.0,86,123.0,11.0,9.0,35.0,5.0,23.0,0.0,12.0,1.0,56.0,6.0,5.0,6.0,5.0,10.0,5.0,3.0,9.0,1.0,7.0,4.0,0.0,2.0,0.0,0.0,0.0,1.0,5.0,2.0,0.0,1.0,0.0,1935.0
2012-08-31,1200.0,17.0,197.0,111.0,21.0,57.0,94,135.0,12.0,9.0,40.0,5.0,23.0,0.0,12.0,1.0,62.0,8.0,5.0,10.0,7.0,12.0,8.0,6.0,9.0,1.0,8.0,4.0,0.0,2.0,0.0,0.0,0.0,1.0,6.0,3.0,0.0,1.0,0.0,2087.0
2012-09-30,1281.0,17.0,212.0,119.0,22.0,63.0,99,156.0,13.0,10.0,43.0,7.0,25.0,0.0,12.0,1.0,64.0,9.0,6.0,13.0,7.0,12.0,11.0,7.0,9.0,2.0,9.0,5.0,1.0,2.0,0.0,0.0,0.0,1.0,7.0,3.0,0.0,1.0,0.0,2249.0
2012-10-31,1447.0,22.0,232.0,138.0,26.0,75.0,111,178.0,14.0,12.0,48.0,7.0,28.0,0.0,12.0,1.0,70.0,9.0,6.0,20.0,7.0,13.0,13.0,7.0,9.0,2.0,10.0,5.0,1.0,2.0,0.0,0.0,0.0,1.0,7.0,3.0,0.0,1.0,0.0,2537.0
2012-11-30,1618.0,23.0,263.0,155.0,28.0,91.0,122,206.0,14.0,14.0,52.0,7.0,31.0,0.0,13.0,1.0,74.0,9.0,7.0,21.0,7.0,14.0,14.0,8.0,9.0,3.0,10.0,5.0,1.0,2.0,0.0,0.0,0.0,1.0,8.0,3.0,0.0,1.0,0.0,2835.0
2012-12-31,1752.0,25.0,291.0,164.0,31.0,98.0,133,223.0,14.0,14.0,56.0,7.0,37.0,0.0,16.0,1.0,81.0,9.0,8.0,22.0,7.0,14.0,15.0,8.0,9.0,3.0,13.0,5.0,1.0,2.0,0.0,0.0,0.0,1.0,8.0,3.0,0.0,1.0,0.0,3072.0
2013-01-31,2002.0,26.0,325.0,176.0,35.0,109.0,146,252.0,16.0,14.0,60.0,8.0,39.0,0.0,17.0,2.0,89.0,9.0,8.0,23.0,8.0,14.0,15.0,8.0,11.0,4.0,14.0,6.0,1.0,3.0,1.0,0.0,0.0,1.0,8.0,3.0,0.0,1.0,0.0,3454.0
2013-02-28,2159.0,29.0,339.0,188.0,36.0,118.0,149,273.0,17.0,14.0,67.0,9.0,44.0,0.0,17.0,2.0,90.0,10.0,8.0,24.0,8.0,14.0,15.0,9.0,12.0,5.0,22.0,6.0,1.0,4.0,1.0,0.0,0.0,1.0,8.0,3.0,0.0,1.0,0.0,3703.0
2013-03-31,2330.0,31.0,369.0,204.0,39.0,122.0,163,290.0,19.0,16.0,69.0,10.0,49.0,0.0,17.0,2.0,99.0,10.0,9.0,26.0,8.0,14.0,15.0,10.0,13.0,5.0,23.0,6.0,1.0,4.0,1.0,0.0,0.0,1.0,8.0,4.0,0.0,1.0,0.0,3988.0
2013-04-30,2548.0,35.0,401.0,223.0,44.0,138.0,185,331.0,22.0,17.0,74.0,11.0,51.0,0.0,20.0,2.0,102.0,12.0,10.0,29.0,8.0,14.0,18.0,10.0,13.0,6.0,24.0,8.0,1.0,5.0,1.0,0.0,0.0,1.0,8.0,4.0,0.0,1.0,0.0,4377.0
2013-05-31,2811.0,40.0,468.0,254.0,51.0,145.0,213,383.0,26.0,17.0,89.0,11.0,53.0,0.0,21.0,3.0,110.0,14.0,10.0,32.0,8.0,15.0,21.0,10.0,13.0,7.0,27.0,8.0,1.0,5.0,2.0,0.0,0.0,1.0,9.0,4.0,0.0,1.0,0.0,4883.0
2013-06-30,3093.0,43.0,521.0,271.0,52.0,164.0,229,422.0,28.0,18.0,100.0,11.0,56.0,0.0,24.0,3.0,120.0,14.0,11.0,34.0,11.0,17.0,23.0,10.0,13.0,7.0,33.0,8.0,1.0,6.0,2.0,0.0,0.0,1.0,9.0,4.0,0.0,1.0,1.0,5361.0
2013-07-31,3310.0,48.0,558.0,293.0,56.0,186.0,247,446.0,29.0,19.0,115.0,11.0,59.0,0.0,26.0,4.0,125.0,14.0,13.0,36.0,14.0,18.0,30.0,10.0,14.0,9.0,33.0,8.0,1.0,7.0,3.0,0.0,0.0,1.0,9.0,4.0,0.0,1.0,1.0,5758.0
2013-08-31,3524.0,54.0,603.0,311.0,57.0,213.0,277,499.0,32.0,20.0,127.0,13.0,64.0,0.0,26.0,5.0,134.0,14.0,13.0,37.0,15.0,21.0,36.0,10.0,14.0,10.0,38.0,8.0,1.0,10.0,3.0,0.0,1.0,1.0,12.0,5.0,0.0,1.0,1.0,6210.0
2013-09-30,3782.0,58.0,650.0,342.0,59.0,227.0,299,539.0,33.0,22.0,139.0,13.0,66.0,0.0,26.0,5.0,142.0,15.0,13.0,43.0,16.0,21.0,39.0,11.0,18.0,11.0,40.0,8.0,1.0,11.0,3.0,0.0,1.0,1.0,12.0,5.0,0.0,1.0,1.0,6673.0
2013-10-31,4045.0,60.0,704.0,375.0,65.0,238.0,316,578.0,36.0,26.0,149.0,13.0,68.0,0.0,28.0,5.0,150.0,16.0,13.0,46.0,19.0,24.0,44.0,11.0,21.0,13.0,42.0,8.0,1.0,12.0,3.0,0.0,1.0,1.0,12.0,5.0,0.0,1.0,1.0,7150.0
2013-11-30,4247.0,60.0,739.0,396.0,68.0,247.0,339,602.0,37.0,26.0,160.0,13.0,69.0,0.0,30.0,5.0,156.0,16.0,13.0,46.0,20.0,24.0,44.0,11.0,21.0,15.0,42.0,8.0,1.0,12.0,3.0,0.0,1.0,1.0,13.0,7.0,0.0,1.0,1.0,7494.0
2013-12-31,4444.0,62.0,785.0,416.0,69.0,262.0,359,633.0,40.0,26.0,165.0,14.0,71.0,0.0,31.0,5.0,167.0,18.0,13.0,48.0,22.0,25.0,46.0,11.0,24.0,16.0,43.0,8.0,1.0,12.0,3.0,0.0,1.0,1.0,13.0,7.0,0.0,1.0,1.0,7863.0
2014-01-31,4696.0,66.0,821.0,441.0,80.0,277.0,375,660.0,43.0,27.0,174.0,14.0,74.0,0.0,32.0,6.0,175.0,18.0,13.0,50.0,22.0,26.0,47.0,11.0,26.0,16.0,46.0,8.0,1.0,12.0,3.0,0.0,1.0,1.0,13.0,7.0,0.0,1.0,1.0,8284.0
2014-02-28,4831.0,67.0,854.0,450.0,82.0,290.0,390,683.0,43.0,27.0,176.0,14.0,75.0,0.0,33.0,6.0,180.0,18.0,14.0,51.0,22.0,27.0,49.0,11.0,26.0,16.0,48.0,8.0,1.0,12.0,3.0,0.0,1.0,1.0,13.0,7.0,1.0,1.0,1.0,8532.0
2014-03-31,5007.0,71.0,886.0,466.0,83.0,298.0,400,711.0,45.0,27.0,178.0,15.0,78.0,0.0,36.0,7.0,183.0,19.0,15.0,51.0,22.0,27.0,49.0,12.0,26.0,17.0,49.0,8.0,1.0,13.0,3.0,0.0,1.0,1.0,13.0,7.0,1.0,1.0,1.0,8828.0
2014-04-30,5200.0,76.0,913.0,485.0,86.0,306.0,414,746.0,48.0,28.0,188.0,15.0,80.0,0.0,36.0,7.0,188.0,19.0,18.0,54.0,22.0,27.0,51.0,12.0,27.0,18.0,51.0,8.0,1.0,13.0,3.0,0.0,1.0,1.0,13.0,7.0,1.0,1.0,1.0,9165.0
2014-05-31,5371.0,78.0,954.0,513.0,88.0,326.0,434,775.0,49.0,32.0,193.0,16.0,83.0,0.0,36.0,7.0,191.0,19.0,19.0,57.0,22.0,29.0,53.0,12.0,27.0,19.0,53.0,9.0,1.0,14.0,3.0,0.0,1.0,2.0,14.0,7.0,1.0,1.0,1.0,9510.0
2014-06-30,5634.0,79.0,1017.0,535.0,95.0,345.0,450,824.0,52.0,32.0,200.0,19.0,87.0,0.0,42.0,7.0,205.0,19.0,19.0,57.0,22.0,29.0,56.0,12.0,28.0,23.0,54.0,10.0,1.0,14.0,3.0,0.0,1.0,2.0,16.0,7.0,1.0,1.0,1.0,9999.0
